"carnavalsnaam","tgn_uri"
"Peelpluimenrijk","http://vocab.getty.edu/tgn/7266320"
"Peelstrekelrijk","http://vocab.getty.edu/tgn/7006839"
"Peeltuuterrijk","http://vocab.getty.edu/tgn/7272362"
"Peelvrujtersland","http://vocab.getty.edu/tgn/7007096"
"Peelvruutersrijk","http://vocab.getty.edu/tgn/7263422"
"Peperbussenrijk","http://vocab.getty.edu/tgn/7265713"
"Pezerikkengat","http://vocab.getty.edu/tgn/1047846"
"Pieperland","http://vocab.getty.edu/tgn/1048198"
"Pieregat","http://vocab.getty.edu/tgn/7272127"
"Piereslikkersrijk","http://vocab.getty.edu/tgn/7272739"
"Pierewaaiersrijk","http://vocab.getty.edu/tgn/1047958"
"Pierewaaijersrijk","http://vocab.getty.edu/tgn/7257447"
"Pinnekleuversgat","http://vocab.getty.edu/tgn/7256608"
"Pintenwippersrijk","http://vocab.getty.edu/tgn/7261697"
"Pintewippersrijk","http://vocab.getty.edu/tgn/1047815"
"Plekkersriek","http://vocab.getty.edu/tgn/7272737"
"Ploegersland","http://vocab.getty.edu/tgn/7264344"
"Poeswiek","http://vocab.getty.edu/tgn/7264490"
"Pompedurp","http://vocab.getty.edu/tgn/1047897"
"Pomperstad","http://vocab.getty.edu/tgn/7270576"
"Pothuusburg","http://vocab.getty.edu/tgn/1047800"
"Pottenbakkersrijk","http://vocab.getty.edu/tgn/7274039"
"Potteschijtersland","http://vocab.getty.edu/tgn/7261873"
"Puitenlaand","http://vocab.getty.edu/tgn/7266242"
"Puitenol","http://vocab.getty.edu/tgn/1048035"
"Put en Buntland","http://vocab.getty.edu/tgn/1048051"
"R'ommelpottersland","http://vocab.getty.edu/tgn/7267102"
"Raldal","http://vocab.getty.edu/tgn/7273129"
"Raopersgat","http://vocab.getty.edu/tgn/1047916"
"Reigerland","http://vocab.getty.edu/tgn/7274068"
"Riefelshol","http://vocab.getty.edu/tgn/7006835"
"Roesdonk","http://vocab.getty.edu/tgn/7270930"
"Rommegat","http://vocab.getty.edu/tgn/7264870"
"Rommelgat","http://vocab.getty.edu/tgn/1048182"
"Rottenrijk","http://vocab.getty.edu/tgn/7261850"
"SchaopenWaeserland","http://vocab.getty.edu/tgn/7269259"
"Schoenlapperslaand","http://vocab.getty.edu/tgn/1048211"
"Schorsbos","http://vocab.getty.edu/tgn/1048090"
"Schottelzakkenrijk","http://vocab.getty.edu/tgn/7261899"
"Schraansersrijk","http://vocab.getty.edu/tgn/7271505"
"Skon Orregat","http://vocab.getty.edu/tgn/7006833"
"Slikgat","http://vocab.getty.edu/tgn/7267040"
"Slotgat","http://vocab.getty.edu/tgn/7260088"
"Smokkelgat","http://vocab.getty.edu/tgn/7257207"
"Smoorfretersland","http://vocab.getty.edu/tgn/7258506"
"Smouzenrijk","http://vocab.getty.edu/tgn/1048266"
"Snerkersdurp","http://vocab.getty.edu/tgn/1048270"
"Snevelbokkenland","http://vocab.getty.edu/tgn/7266218"
"Snewbulten","http://vocab.getty.edu/tgn/7272197"
"Spieringkruiersdurp","http://vocab.getty.edu/tgn/1047957"
