"id","plaatsnaam_in_bron","plaatsnaam","eerste_jaar_min","eerste_jaar_max","laatste_jaar_min","laatste_jaar_max","aantal","tgn_uri","gn_uri","land","lat","lon"
"2370","Nystelrode","Nistelrode","1468","1469","1519","1520","11","http://vocab.getty.edu/tgn/1047988","http://www.geonames.org/2750031","Netherlands","51.704167","5.5625"
"2371","Nystelroey","Nistelrode","1542","1543","1554","1555","2","http://vocab.getty.edu/tgn/1047988","http://www.geonames.org/2750031","Netherlands","51.704167","5.5625"
"2372","Nystelroy","Nistelrode","1508","1509","1542","1543","9","http://vocab.getty.edu/tgn/1047988","http://www.geonames.org/2750031","Netherlands","51.704167","5.5625"
"2373","Nywael","Nieuwaal","1472","1473","1472","1473","6","http://vocab.getty.edu/tgn/7270308","http://www.geonames.org/2750379","Netherlands","51.81","5.177778"
"2374","obiit apud Groninghen","Groningen","1495","1496","1495","1496","1","http://vocab.getty.edu/tgn/7006984","http://www.geonames.org/2755251","Netherlands","53.219167","6.566667"
"2375","obiit in Werkendam","Werkendam","1495","1496","1495","1496","1","http://vocab.getty.edu/tgn/1048229","http://www.geonames.org/2744827","Netherlands","51.81","4.894444"
"2376","Oden Rode","Sint-Oedenrode","1484","1485","1484","1485","1","http://vocab.getty.edu/tgn/7006838","http://www.geonames.org/2747227","Netherlands","51.5675","5.459722"
"2377","Oden Roey","Sint-Oedenrode","1531","1532","1531","1532","1","http://vocab.getty.edu/tgn/7006838","http://www.geonames.org/2747227","Netherlands","51.5675","5.459722"
"2378","Oedenrode","Sint-Oedenrode","1522","1523","1522","1523","2","http://vocab.getty.edu/tgn/7006838","http://www.geonames.org/2747227","Netherlands","51.5675","5.459722"
"2379","Oeffel","Oeffelt","1476","1477","1476","1477","1","http://vocab.getty.edu/tgn/7269378","http://www.geonames.org/2749726","Netherlands","51.698333","5.933333"
"2380","Oeffel by Gennep","Oeffelt","1581","1582","1581","1582","1","http://vocab.getty.edu/tgn/7269378","http://www.geonames.org/2749726","Netherlands","51.698333","5.933333"
"2381","Oerl","Oerle","1523","1524","1559","1560","4","http://vocab.getty.edu/tgn/7270459","http://www.geonames.org/2749703","Netherlands","51.4225470354","5.37162780762"
"2382","Oerle","Oerle","1430","1431","1585","1586","22","http://vocab.getty.edu/tgn/7270459","http://www.geonames.org/2749703","Netherlands","51.4225470354","5.37162780762"
"2383","Oerschoet","Oirschot","1511","1512","1511","1512","18","http://vocab.getty.edu/tgn/7006833","http://www.geonames.org/2749683","Netherlands","51.505","5.313889"
"2384","Oerschot","Oirschot","1445","1446","1571","1572","488","http://vocab.getty.edu/tgn/7006833","http://www.geonames.org/2749683","Netherlands","51.505","5.313889"
"4032","Heel","Heel","1516","1517","1516","1517","1","http://vocab.getty.edu/tgn/1047828","http://www.geonames.org/2754706","Netherlands","51.179167","5.894444"
