"id","hgid","naam","gg_uri","gg_uri_amco","amco","cbscode","geonames","startjaar","eindjaar","provincie","departement","absorbed","absorbedBy","originated","originatedFrom"
"335","Zwolle","Zwolle","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zwolle","http://www.gemeentegeschiedenis.nl/amco/10093",,"0193","http://sws.geonames.org/2743476","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Overijssel","http://www.gemeentegeschiedenis.nl/departement/MY","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zwollerkerspel",,,
"336","Zwollerkerspel","Zwollerkerspel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zwollerkerspel","http://www.gemeentegeschiedenis.nl/amco/10654",,"1245",,"oudsher","1967","http://www.gemeentegeschiedenis.nl/provincie/Overijssel","http://www.gemeentegeschiedenis.nl/departement/MY",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Zwolle",,
"337","Almere","Almere","http://www.gemeentegeschiedenis.nl/gemeentenaam/Almere","http://www.gemeentegeschiedenis.nl/amco/10018",,"0034","http://sws.geonames.org/6544259","1984","heden","http://www.gemeentegeschiedenis.nl/provincie/Flevoland",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuidelijke_IJsselmeerpolders__Openbaar_Lichaam"
"338","Dronten","Dronten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Dronten","http://www.gemeentegeschiedenis.nl/amco/10210",,"0303","http://sws.geonames.org/2756558","1972","heden","http://www.gemeentegeschiedenis.nl/provincie/Flevoland",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuidelijke_IJsselmeerpolders__Openbaar_Lichaam"
"339","Lelystad","Lelystad","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lelystad","http://www.gemeentegeschiedenis.nl/amco/11110",,"0995","http://sws.geonames.org/2751737","1980","heden","http://www.gemeentegeschiedenis.nl/provincie/Flevoland",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuidelijke_IJsselmeerpolders__Openbaar_Lichaam"
"340","Noordoostpolder","Noordoostpolder","http://www.gemeentegeschiedenis.nl/gemeentenaam/Noordoostpolder","http://www.gemeentegeschiedenis.nl/amco/10144",,"0171","http://sws.geonames.org/2749851","1962","heden","http://www.gemeentegeschiedenis.nl/provincie/Flevoland",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Noordoostelijke_Polder__Openbaar_Lichaam"
"341","Urk","Urk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Urk","http://www.gemeentegeschiedenis.nl/amco/10783",,"0184","http://sws.geonames.org/2745931","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Flevoland","http://www.gemeentegeschiedenis.nl/departement/Zz",,,,
"342","Zeewolde","Zeewolde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zeewolde","http://www.gemeentegeschiedenis.nl/amco/10012",,"0050","http://sws.geonames.org/2743996","1984","heden","http://www.gemeentegeschiedenis.nl/provincie/Flevoland",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuidelijke_IJsselmeerpolders__Openbaar_Lichaam"
"343","Aalst_Ge","Aalst [Ge]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Aalst_Ge","http://www.gemeentegeschiedenis.nl/amco/10228",,,,"oudsher","1818","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Poederoijen",,
"344","Aalten","Aalten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Aalten","http://www.gemeentegeschiedenis.nl/amco/11046",,"0197","http://sws.geonames.org/2760122","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY","http://www.gemeentegeschiedenis.nl/gemeentenaam/Dinxperlo",,,
"345","Afferden_Ge","Afferden [Ge]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Afferden_Ge","http://www.gemeentegeschiedenis.nl/amco/11015",,,,"oudsher","1818","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Druten",,
"346","Alphen_Ge","Alphen [Ge]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Alphen_Ge","http://www.gemeentegeschiedenis.nl/amco/10995",,,,"oudsher","1818","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Appeltern",,
"347","Ambt_Doetinchem","Ambt Doetinchem","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ambt_Doetinchem","http://www.gemeentegeschiedenis.nl/amco/10396",,"1010",,"1818","1920","http://www.gemeentegeschiedenis.nl/provincie/Gelderland",,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Doetinchem",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Hummelo"
"348","Ammerzoden","Ammerzoden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ammerzoden","http://www.gemeentegeschiedenis.nl/amco/10151",,"0198",,"oudsher","1999","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasdriel",,
"349","Angerlo","Angerlo","http://www.gemeentegeschiedenis.nl/gemeentenaam/Angerlo","http://www.gemeentegeschiedenis.nl/amco/11131",,"0199",,"oudsher","2005","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Zevenaar",,
"350","Apeldoorn","Apeldoorn","http://www.gemeentegeschiedenis.nl/gemeentenaam/Apeldoorn","http://www.gemeentegeschiedenis.nl/amco/11075",,"0200","http://sws.geonames.org/2759705","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY","http://www.gemeentegeschiedenis.nl/gemeentenaam/Beekbergen",,,
"351","Appeltern","Appeltern","http://www.gemeentegeschiedenis.nl/gemeentenaam/Appeltern","http://www.gemeentegeschiedenis.nl/amco/11296",,"0201",,"oudsher","1984","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MR","http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasbommel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wamel",,
"352","Arnhem","Arnhem","http://www.gemeentegeschiedenis.nl/gemeentenaam/Arnhem","http://www.gemeentegeschiedenis.nl/amco/10795",,"0202","http://sws.geonames.org/2759660","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,,,
"353","Balgoij","Balgoij","http://www.gemeentegeschiedenis.nl/gemeentenaam/Balgoij","http://www.gemeentegeschiedenis.nl/amco/10849",,"1016",,"oudsher","1923","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Overasselt",,
"354","Barneveld","Barneveld","http://www.gemeentegeschiedenis.nl/gemeentenaam/Barneveld","http://www.gemeentegeschiedenis.nl/amco/10906",,"0203","http://sws.geonames.org/2759406","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY","http://www.gemeentegeschiedenis.nl/gemeentenaam/Voorthuizen",,,
"355","Batenburg","Batenburg","http://www.gemeentegeschiedenis.nl/gemeentenaam/Batenburg","http://www.gemeentegeschiedenis.nl/amco/10921",,"0204",,"oudsher","1984","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Wijchen",,
"356","Beekbergen","Beekbergen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Beekbergen","http://www.gemeentegeschiedenis.nl/amco/11390",,,,"oudsher","1818","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Apeldoorn",,
"357","Beek_Ge","Beek [Ge]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Beek_Ge","http://www.gemeentegeschiedenis.nl/amco/10408",,,,"oudsher","1818","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Ubbergen",,
"358","Beesd","Beesd","http://www.gemeentegeschiedenis.nl/gemeentenaam/Beesd","http://www.gemeentegeschiedenis.nl/amco/10259",,"0205",,"oudsher","1978","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MM",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Geldermalsen",,
"359","Beltrum","Beltrum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Beltrum","http://www.gemeentegeschiedenis.nl/amco/10251",,,,"oudsher","1819","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Eibergen",,
"360","Bemmel","Bemmel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bemmel","http://www.gemeentegeschiedenis.nl/amco/10744",,"0206",,"oudsher","2003","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY","http://www.gemeentegeschiedenis.nl/gemeentenaam/Gendt","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lingewaard",,
"361","Bennekom","Bennekom","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bennekom","http://www.gemeentegeschiedenis.nl/amco/11179",,,,"oudsher","1818","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Ede",,
"362","Bergh","Bergh","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bergh","http://www.gemeentegeschiedenis.nl/amco/10350",,"0207",,"1821","2005","http://www.gemeentegeschiedenis.nl/provincie/Gelderland",,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Montferland",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Netterden"
"363","Bergharen","Bergharen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bergharen","http://www.gemeentegeschiedenis.nl/amco/10883",,"0208",,"oudsher","1984","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MR","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hernen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wijchen",,
"364","Berkelland","Berkelland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Berkelland","http://www.gemeentegeschiedenis.nl/amco/10436",,"1859","http://sws.geonames.org/6544286","2005","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Borculo"
"365","Beuningen","Beuningen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Beuningen","http://www.gemeentegeschiedenis.nl/amco/10417",,"0209","http://sws.geonames.org/2759014","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MR","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ewijk",,,
"366","Beusichem","Beusichem","http://www.gemeentegeschiedenis.nl/gemeentenaam/Beusichem","http://www.gemeentegeschiedenis.nl/amco/11182",,"0210",,"oudsher","1978","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Buren",,
"367","Borculo","Borculo","http://www.gemeentegeschiedenis.nl/gemeentenaam/Borculo","http://www.gemeentegeschiedenis.nl/amco/11307",,"0211",,"oudsher","2005","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY","http://www.gemeentegeschiedenis.nl/gemeentenaam/Geesteren","http://www.gemeentegeschiedenis.nl/gemeentenaam/Berkelland",,
"368","Brakel","Brakel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Brakel","http://www.gemeentegeschiedenis.nl/amco/11125",,"0212",,"oudsher","1999","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MR","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuilichem","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zaltbommel",,
"369","Bredevoort","Bredevoort","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bredevoort","http://www.gemeentegeschiedenis.nl/amco/11295",,,,"oudsher","1818","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Aalten",,
"370","Bronckhorst","Bronckhorst","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bronckhorst","http://www.gemeentegeschiedenis.nl/amco/11159",,"1876","http://sws.geonames.org/6544290","2005","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Hummelo_en_Keppel"
"371","Bruchem","Bruchem","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bruchem","http://www.gemeentegeschiedenis.nl/amco/10791",,,,"oudsher","1818","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Kerkwijk",,
"372","Brummen","Brummen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Brummen","http://www.gemeentegeschiedenis.nl/amco/10798",,"0213","http://sws.geonames.org/2758176","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,,,
"373","Buren","Buren","http://www.gemeentegeschiedenis.nl/gemeentenaam/Buren","http://www.gemeentegeschiedenis.nl/amco/11286",,"0214","http://sws.geonames.org/2758095","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY","http://www.gemeentegeschiedenis.nl/gemeentenaam/Maurik",,,
"374","Buurmalsen","Buurmalsen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Buurmalsen","http://www.gemeentegeschiedenis.nl/amco/10460",,"0215",,"1818","1978","http://www.gemeentegeschiedenis.nl/provincie/Gelderland",,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Geldermalsen",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Geldermalsen"
"375","Culemborg","Culemborg","http://www.gemeentegeschiedenis.nl/gemeentenaam/Culemborg","http://www.gemeentegeschiedenis.nl/amco/10342",,"0216","http://sws.geonames.org/2757871","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MM",,,,
"376","Dalem","Dalem","http://www.gemeentegeschiedenis.nl/gemeentenaam/Dalem","http://www.gemeentegeschiedenis.nl/amco/11376",,,,"oudsher","1818","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Vuren",,
"377","Deil","Deil","http://www.gemeentegeschiedenis.nl/gemeentenaam/Deil","http://www.gemeentegeschiedenis.nl/amco/10057",,"0217",,"oudsher","1978","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Geldermalsen",,
"378","Didam","Didam","http://www.gemeentegeschiedenis.nl/gemeentenaam/Didam","http://www.gemeentegeschiedenis.nl/amco/10153",,"0218",,"oudsher","2005","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Montferland",,
"379","Dieren","Dieren","http://www.gemeentegeschiedenis.nl/gemeentenaam/Dieren","http://www.gemeentegeschiedenis.nl/amco/11355",,,,"oudsher","1818","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Rheden",,
"380","Dinxperlo","Dinxperlo","http://www.gemeentegeschiedenis.nl/gemeentenaam/Dinxperlo","http://www.gemeentegeschiedenis.nl/amco/11154",,"0219",,"oudsher","2005","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Aalten",,
"381","Dodewaard","Dodewaard","http://www.gemeentegeschiedenis.nl/gemeentenaam/Dodewaard","http://www.gemeentegeschiedenis.nl/amco/10647",,"0220",,"1818","2002","http://www.gemeentegeschiedenis.nl/provincie/Gelderland",,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Kesteren",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Hien_en_Dodewaard"
"382","Doesburg","Doesburg","http://www.gemeentegeschiedenis.nl/gemeentenaam/Doesburg","http://www.gemeentegeschiedenis.nl/amco/10327",,"0221","http://sws.geonames.org/2756770","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,,,
"383","Doetinchem","Doetinchem","http://www.gemeentegeschiedenis.nl/gemeentenaam/Doetinchem","http://www.gemeentegeschiedenis.nl/amco/10396",,"0222","http://sws.geonames.org/2756766","1920","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Wehl",,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Stad_Doetinchem"
"384","Doornspijk","Doornspijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Doornspijk","http://www.gemeentegeschiedenis.nl/amco/10069",,"0223",,"oudsher","1974","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosterwolde_Ge","http://www.gemeentegeschiedenis.nl/gemeentenaam/Elburg",,
"385","Doorwerth","Doorwerth","http://www.gemeentegeschiedenis.nl/gemeentenaam/Doorwerth","http://www.gemeentegeschiedenis.nl/amco/11304",,"1046",,"1818","1923","http://www.gemeentegeschiedenis.nl/provincie/Gelderland",,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Renkum",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosterbeek"
"386","Dorth","Dorth","http://www.gemeentegeschiedenis.nl/gemeentenaam/Dorth","http://www.gemeentegeschiedenis.nl/amco/10061",,"1313",,"1818","1831","http://www.gemeentegeschiedenis.nl/provincie/Gelderland",,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Gorssel",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Gorssel"
"387","Dreumel","Dreumel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Dreumel","http://www.gemeentegeschiedenis.nl/amco/11232",,"0224",,"oudsher","1984","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Wamel",,
"388","Driel","Driel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Driel","http://www.gemeentegeschiedenis.nl/amco/10341",,"1248",,"oudsher","1944","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasdriel",,
"389","Druten","Druten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Druten","http://www.gemeentegeschiedenis.nl/amco/10068",,"0225","http://sws.geonames.org/2756538","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MR","http://www.gemeentegeschiedenis.nl/gemeentenaam/Horssen",,,
"390","Duiven","Duiven","http://www.gemeentegeschiedenis.nl/gemeentenaam/Duiven","http://www.gemeentegeschiedenis.nl/amco/11028",,"0226","http://sws.geonames.org/2756506","1813","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Westervoort"
"391","Echteld","Echteld","http://www.gemeentegeschiedenis.nl/gemeentenaam/Echteld","http://www.gemeentegeschiedenis.nl/amco/10832",,"0227",,"1818","2002","http://www.gemeentegeschiedenis.nl/provincie/Gelderland",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/IJzendoorn","http://www.gemeentegeschiedenis.nl/gemeentenaam/Kesteren",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Ochten"
"392","Ede","Ede","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ede","http://www.gemeentegeschiedenis.nl/amco/10743",,"0228","http://sws.geonames.org/2756428","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY","http://www.gemeentegeschiedenis.nl/gemeentenaam/Otterlo",,,
"393","Eibergen","Eibergen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Eibergen","http://www.gemeentegeschiedenis.nl/amco/10436",,"0229",,"oudsher","2005","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY","http://www.gemeentegeschiedenis.nl/gemeentenaam/Beltrum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Berkelland",,
"394","Elburg","Elburg","http://www.gemeentegeschiedenis.nl/gemeentenaam/Elburg","http://www.gemeentegeschiedenis.nl/amco/11113",,"0230","http://sws.geonames.org/2756231","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY","http://www.gemeentegeschiedenis.nl/gemeentenaam/Doornspijk",,,
"395","Elden","Elden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Elden","http://www.gemeentegeschiedenis.nl/amco/11082",,,,"1813","1818","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Elst",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Huissen"
"396","Elst","Elst","http://www.gemeentegeschiedenis.nl/gemeentenaam/Elst","http://www.gemeentegeschiedenis.nl/amco/11188",,"0231",,"oudsher","2001","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lent","http://www.gemeentegeschiedenis.nl/gemeentenaam/Overbetuwe","http://www.gemeentegeschiedenis.nl/gemeentenaam/Valburg",
"397","Elten","Elten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Elten","http://www.gemeentegeschiedenis.nl/amco/10161",,"1055",,"1949","1963","http://www.gemeentegeschiedenis.nl/provincie/Gelderland",,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Duitsland",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/voorheen_Duits_grondgebied"
"398","Epe","Epe","http://www.gemeentegeschiedenis.nl/gemeentenaam/Epe","http://www.gemeentegeschiedenis.nl/amco/10940",,"0232","http://sws.geonames.org/2756058","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY","http://www.gemeentegeschiedenis.nl/gemeentenaam/Vaassen",,,
"399","Ermelo","Ermelo","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ermelo","http://www.gemeentegeschiedenis.nl/amco/10732",,"0233","http://sws.geonames.org/2756038","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nunspeet_1",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Nunspeet_2",
"400","Est_en_Opijnen","Est en Opijnen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Est_en_Opijnen","http://www.gemeentegeschiedenis.nl/amco/11092",,"0234",,"1818","1978","http://www.gemeentegeschiedenis.nl/provincie/Gelderland",,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Neerijnen",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Opijnen"
"401","Etten_Ge","Etten [Ge]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Etten_Ge","http://www.gemeentegeschiedenis.nl/amco/10107",,,,"oudsher","1818","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Gendringen",,
"402","Ewijk","Ewijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ewijk","http://www.gemeentegeschiedenis.nl/amco/10471",,"0235",,"oudsher","1980","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MR","http://www.gemeentegeschiedenis.nl/gemeentenaam/Winssen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Beuningen",,
"403","Gameren","Gameren","http://www.gemeentegeschiedenis.nl/gemeentenaam/Gameren","http://www.gemeentegeschiedenis.nl/amco/10037",,"1058",,"oudsher","1955","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Kerkwijk",,
"404","Garderen","Garderen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Garderen","http://www.gemeentegeschiedenis.nl/amco/10717",,,,"oudsher","1818","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Barneveld",,
"405","Geesteren","Geesteren","http://www.gemeentegeschiedenis.nl/gemeentenaam/Geesteren","http://www.gemeentegeschiedenis.nl/amco/10756",,,,"oudsher","1818","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Borculo",,
"406","Geldermalsen","Geldermalsen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Geldermalsen","http://www.gemeentegeschiedenis.nl/amco/10881",,"0236","http://sws.geonames.org/2755632","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY","http://www.gemeentegeschiedenis.nl/gemeentenaam/Deil",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Buurmalsen",
"407","Gendringen","Gendringen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Gendringen","http://www.gemeentegeschiedenis.nl/amco/10260",,"0237",,"oudsher","2005","http://www.gemeentegeschiedenis.nl/provincie/Gelderland","http://www.gemeentegeschiedenis.nl/departement/BY","http://www.gemeentegeschiedenis.nl/gemeentenaam/Etten_Ge","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oude_IJsselstreek",,
