"id","hgid","naam","gg_uri","gg_uri_amco","amco","cbscode","geonames","startjaar","eindjaar","provincie","departement","absorbed","absorbedBy","originated","originatedFrom"
"1418","Made","Made","http://www.gemeentegeschiedenis.nl/gemeentenaam/Made","http://www.gemeentegeschiedenis.nl/amco/10258",,"1665",,"1997","1998","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant",,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Drimmelen",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Terheijden"
"1419","Made_en_Drimmelen","Made en Drimmelen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Made_en_Drimmelen","http://www.gemeentegeschiedenis.nl/amco/10258",,"0812","http://sws.geonames.org/2751271","oudsher","1997","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/TN",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Made",,
"1420","Maren","Maren","http://www.gemeentegeschiedenis.nl/gemeentenaam/Maren","http://www.gemeentegeschiedenis.nl/amco/10495",,,,"oudsher","1821","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Alem__Maren_en_Kessel",,
"1421","Meeuwen","Meeuwen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Meeuwen","http://www.gemeentegeschiedenis.nl/amco/10216",,"1111",,"1908","1923","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant",,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Eethen",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Meeuwen__Hill_en_Babylonienbroek"
"1422","Meeuwen__Hill_en_Babylonienbroek","Meeuwen, Hill en Babyloniënbroek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Meeuwen__Hill_en_Babylonienbroek","http://www.gemeentegeschiedenis.nl/amco/10216",,"1264",,"oudsher","1908","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Meeuwen",,
"1423","Megen","Megen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Megen","http://www.gemeentegeschiedenis.nl/amco/10988",,,,"oudsher","1821","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Megen__Haren_en_Macharen",,
"1424","Megen__Haren_en_Macharen","Megen, Haren en Macharen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Megen__Haren_en_Macharen","http://www.gemeentegeschiedenis.nl/amco/10988",,"0813",,"1821","1994","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant",,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Oss",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Haren_en_Macharen"
"1425","Mierlo","Mierlo","http://www.gemeentegeschiedenis.nl/gemeentenaam/Mierlo","http://www.gemeentegeschiedenis.nl/amco/10215",,"0814",,"oudsher","2004","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Geldrop-Mierlo",,
"1426","Mill_en_Sint_Hubert","Mill en Sint Hubert","http://www.gemeentegeschiedenis.nl/gemeentenaam/Mill_en_Sint_Hubert","http://www.gemeentegeschiedenis.nl/amco/10535",,"0815","http://sws.geonames.org/2750800","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR","http://www.gemeentegeschiedenis.nl/gemeentenaam/Escharen",,,
"1427","Moerdijk","Moerdijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Moerdijk","http://www.gemeentegeschiedenis.nl/amco/10046",,"1709","http://sws.geonames.org/6251995","1998","heden","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Zevenbergen"
"1428","Moergestel","Moergestel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Moergestel","http://www.gemeentegeschiedenis.nl/amco/11191",,"0816",,"oudsher","1997","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Oisterwijk",,
"1429","Nederwetten_en_Eckart","Nederwetten en Eckart","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nederwetten_en_Eckart","http://www.gemeentegeschiedenis.nl/amco/11361",,,,"oudsher","1821","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Nuenen__Gerwen_en_Nederwetten",,
"1430","Nieuw-Ginneken","Nieuw-Ginneken","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuw-Ginneken","http://www.gemeentegeschiedenis.nl/amco/10406",,"0817",,"1942","1997","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant",,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Breda",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Ginneken_en_Bavel"
"1431","Nieuwkuyk","Nieuwkuyk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwkuyk","http://www.gemeentegeschiedenis.nl/amco/11278",,"1123",,"oudsher","1935","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Vlijmen",,
"1432","Nieuw-Vossemeer","Nieuw-Vossemeer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuw-Vossemeer","http://www.gemeentegeschiedenis.nl/amco/10401",,"0818",,"oudsher","1997","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/TN",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Steenbergen",,
"1433","Nistelrode","Nistelrode","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nistelrode","http://www.gemeentegeschiedenis.nl/amco/10094",,"0819",,"oudsher","1994","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Heesch",,
"1434","Nuenen_en_Gerwen","Nuenen en Gerwen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nuenen_en_Gerwen","http://www.gemeentegeschiedenis.nl/amco/10761",,,,"oudsher","1821","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Nuenen__Gerwen_en_Nederwetten",,
"1435","Nuenen__Gerwen_en_Nederwetten","Nuenen, Gerwen en Nederwetten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nuenen__Gerwen_en_Nederwetten","http://www.gemeentegeschiedenis.nl/amco/10761",,"0820","http://sws.geonames.org/2749779","1821","heden","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Nuenen_en_Gerwen"
"1436","Nuland","Nuland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nuland","http://www.gemeentegeschiedenis.nl/amco/10118",,"0821",,"oudsher","1993","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasdonk",,
"1437","Oeffelt","Oeffelt","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oeffelt","http://www.gemeentegeschiedenis.nl/amco/10360",,"0822",,"oudsher","1994","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Boxmeer",,
"1438","Oerle","Oerle","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oerle","http://www.gemeentegeschiedenis.nl/amco/10119",,"1132",,"oudsher","1921","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Veldhoven",,
"1439","Oijen_en_Teeffelen","Oijen en Teeffelen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oijen_en_Teeffelen","http://www.gemeentegeschiedenis.nl/amco/10869",,"1150",,"oudsher","1939","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Lith",,
"1440","Oirschot","Oirschot","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oirschot","http://www.gemeentegeschiedenis.nl/amco/10225",,"0823","http://sws.geonames.org/2749682","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oost-__West-_en_Middelbeers",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Best",
"1441","Oisterwijk","Oisterwijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oisterwijk","http://www.gemeentegeschiedenis.nl/amco/10103",,"0824","http://sws.geonames.org/2749679","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR","http://www.gemeentegeschiedenis.nl/gemeentenaam/Moergestel",,,
"1442","Oosterhout","Oosterhout","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosterhout","http://www.gemeentegeschiedenis.nl/amco/11280",,"0826","http://sws.geonames.org/2749447","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/TN",,,,
"1443","Oost-__West-_en_Middelbeers","Oost-, West- en Middelbeers","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oost-__West-_en_Middelbeers","http://www.gemeentegeschiedenis.nl/amco/10220",,"0825",,"oudsher","1997","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Oirschot",,
