"id","plaats_in_bron","plaats","start","eind","aantal","geonames","kloekeCode"
310,"Purmerend","Purmerend",1691,1793,201,"http://sws.geonames.org/2748413","E072p"
312,"Worcum","Workum",1637,1794,201,"http://sws.geonames.org/2744179","F001p"
321,"Leuwaarden","Leeuwarden",1695,1793,190,"http://sws.geonames.org/2751792","B056p"
326,"De rijp","De Rijp",1643,1791,188,"http://sws.geonames.org/2757095","E069p"
334,"Aernhem","Arnhem",1648,1779,180,"http://sws.geonames.org/2759661","L023p"
337,"Veendam","Veendam",1694,1793,179,"http://sws.geonames.org/2745783","C159p"
339,"Wormer","Wormer",1646,1793,178,"http://sws.geonames.org/2744174","E070a"
348,"Kortrijk","Kortrijk",1696,1794,174,"http://sws.geonames.org/2752393",""
350,"Franiker","Franeker",1646,1792,174,"http://sws.geonames.org/2755845","B048p"
358,"Sevenhuijsen","Zevenhuizen",1678,1793,171,"http://sws.geonames.org/2743930","E205p"
360,"Leeuwaarde","Leeuwarden",1683,1793,171,"http://sws.geonames.org/2751792","B056p"
361,"Leijerdorp","Leiderdorp",1689,1793,170,"http://sws.geonames.org/2751771","E171p"
363,"Muijden","Muiden",1637,1793,169,"http://sws.geonames.org/2750569","E122p"
364,"Maaslandsluijs","Maassluis",1687,1794,169,"http://sws.geonames.org/2751285","I007p"
365,"Enckhuijsen","Enkhuizen",1635,1793,168,"http://sws.geonames.org/2756077","E040p"
370,"Leeuwarden","Leeuwarden",1637,1793,167,"http://sws.geonames.org/2751792","B056p"
373,"Ter goes","Goes",1687,1791,166,"http://sws.geonames.org/2755476","I069p"
374,"Alckmaar","Alkmaar",1643,1784,165,"http://sws.geonames.org/2759899","E045p"
380,"Hilversum","Hilversum",1694,1794,164,"http://sws.geonames.org/2754064","E161p"
385,"Oudewater","Oudewater",1684,1793,161,"http://sws.geonames.org/2748979","E215p"
386,"Haarlingen","Harlingen",1707,1792,161,"http://sws.geonames.org/2754817","B045p"
389,"Axel","Axel",1682,1794,159,"http://sws.geonames.org/2759594","I140p"
392,"Diest","Deest",1661,1792,157,"http://sws.geonames.org/2757651","L054c"
393,"Leijde","Leiden",1661,1791,156,"http://sws.geonames.org/2751773","E167p"
395,"Venloo","Venlo",1672,1793,155,"http://sws.geonames.org/2745641","L271p"
398,"Tiel","Tiel",1637,1793,153,"http://sws.geonames.org/2746331","L044p"
399,"Ouwerkerk","Ouwerkerk",1688,1794,153,"http://sws.geonames.org/2748876","I050p"
401,"Staveren","Stavoren",1635,1790,152,"http://sws.geonames.org/2746816","F026p"
406,"Nieuwerkerk","Nieuwerkerk",1701,1791,150,"http://sws.geonames.org/2750264","I051p"
416,"Alkmaer","Alkmaar",1633,1792,145,"http://sws.geonames.org/2759899","E045p"
417,"Sutphen","Zutphen",1646,1793,145,"http://sws.geonames.org/2743608","F179p"
422,"Sas van gent","Sas van Gent",1679,1792,143,"http://sws.geonames.org/2747749","I162p"
424,"De helder","Den Helder",1640,1793,143,"http://sws.geonames.org/2757220","E002p"
433,"Zirkzee","Zierikzee",1661,1793,139,"http://sws.geonames.org/2743913","I049p"
434,"Vlieland","Vlieland",1687,1793,138,"http://sws.geonames.org/2745419",""
437,"Swijndregt","Zwijndrecht",1689,1786,137,"http://sws.geonames.org/2743493","K090p"
438,"Almelo","Almelo",1681,1792,136,"http://sws.geonames.org/2759887","G173p"
448,"Groninge","Groningen",1646,1793,132,"http://sws.geonames.org/2755251","C108p"
449,"Tholen","Tholen",1700,1793,132,"http://sws.geonames.org/2746351","I077p"
452,"Moordregt","Moordrecht",1706,1793,130,"http://sws.geonames.org/2750613","K013p"
454,"Maastricht","Maastricht",1680,1791,130,"http://sws.geonames.org/2751283","Q095p"
459,"Nieuwendam","Nieuwendam",1635,1794,128,"http://sws.geonames.org/2750287","E106p"
463,"Wageningen","Wageningen",1684,1794,127,"http://sws.geonames.org/2745088","L010p"
466,"Ter veere","Veere",1685,1793,127,"http://sws.geonames.org/2745739","I066p"
