"id","geb_plaats_bron","geb_plaats_huidig","eerste_jaar","laatste_jaar","lat","lon","adm1","aantal","gn_uri","tgn_uri"
"872","Gieten","Gieten","1649","1649","53.0166667","6.7666667","DR","1",,"http://vocab.getty.edu/tgn/1047788"
"873","gils","Gilze","1589","1589","51.55","4.95","NB","1",,"http://vocab.getty.edu/tgn/1047790"
"874","gilse","Gilze","1538","1649","51.55","4.95","NB","5",,"http://vocab.getty.edu/tgn/1047790"
"875","gilze","Gilze","1584","1641","51.55","4.95","NB","4",,"http://vocab.getty.edu/tgn/1047790"
"876","ginkel","Nederland","1586","1587","52.5","5.75","NL","2",,
"877","ginneken","Ginneken","1585","1652","51.5666667","4.7833333","NB","5","http://sws.geonames.org/2755498",
"878","ginniken","Ginneken","1636","1636","51.5666667","4.7833333","NB","1","http://sws.geonames.org/2755498",
"879","godelins","Godlinze","1589","1589","53.3666667","6.8166667","GR","1",,"http://vocab.getty.edu/tgn/7263491"
"880","goederee","Goedereede","1499","1499","51.8166667","3.9833333","ZH","1",,"http://vocab.getty.edu/tgn/7032126"
"881","goedereede","Goedereede","1588","1588","51.8166667","3.9833333","ZH","1",,"http://vocab.getty.edu/tgn/7032126"
"882","goejanverwellesluis","Goejanverwellesluis","1652","1652","52.0166667","4.8333333","ZH","1",,
"883","goer","Goor","1497","1644","52.2333333","6.5833333","OV","45",,"http://vocab.getty.edu/tgn/1047794"
"884","goeree","Goeree","1582","1646","51.8166667","3.9833333","ZH","5",,
"885","goes","Goes","1491","1655","51.5","3.8833333","ZE","25",,"http://vocab.getty.edu/tgn/7006755"
"886","goes zeeland","Goes","1641","1641","51.5","3.8833333","ZE","1",,"http://vocab.getty.edu/tgn/7006755"
"887","goijngie","Goënga","1592","1592","53.05","5.7","FR","2","http://sws.geonames.org/2755482",
"888","goinga","Goënga","1637","1654","53.05","5.7","FR","3","http://sws.geonames.org/2755482",
"889","goingarijp","Goingarijp","1637","1637","53.0166667","5.7666667","FR","2",,"http://vocab.getty.edu/tgn/7263469"
"890","goingerijp","Goingarijp","1638","1638","53.0166667","5.7666667","FR","1",,"http://vocab.getty.edu/tgn/7263469"
"891","goinghe","Goënga","1652","1652","53.05","5.7","FR","1","http://sws.geonames.org/2755482",
"892","gontend","Goutum","1588","1588","53.1833333","5.8","FR","1",,"http://vocab.getty.edu/tgn/7260342"
"893","gontum","Goutum","1589","1592","53.1833333","5.8","FR","2",,"http://vocab.getty.edu/tgn/7260342"
"894","Goor","Goor","1586","1643","52.2333333","6.5833333","OV","4",,"http://vocab.getty.edu/tgn/1047794"
"895","goor in land van overysel","Goor","1582","1582","52.2333333","6.5833333","OV","1",,"http://vocab.getty.edu/tgn/1047794"
"896","goorde vuyt bommelerweerdt","Bommelerwaard","1592","1592","51.7666667","5.2833333","GE","1",,
"897","goouderak","Gouderak","1636","1636","51.9833333","4.6833333","ZH","1",,"http://vocab.getty.edu/tgn/7260138"
"898","gor","Gorinchem","1599","1599","51.8333333","4.9666667","ZH","1",,"http://vocab.getty.edu/tgn/1047795"
