"id","kloeke_nieuw","kloeke_uri","naam","kloeke_oud","sameConceptAs","ligt_in_uri","lat","lon"
"2459","K161a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K161a","Rijen","K 161a","http://sws.geonames.org/2748130","http://vocab.getty.edu/tgn/7003624","51.5953381036","4.92258152128"
"2460","K161b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K161b","Dorst","K 161b","http://sws.geonames.org/2756657","http://vocab.getty.edu/tgn/7003624","51.5950975994","4.86553412256"
"2461","K161p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K161p","Oosterhout","K 161","http://sws.geonames.org/2749450","http://vocab.getty.edu/tgn/7003624","51.6430992399","4.86798663181"
"2462","K162a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K162a","Oosteind","K 162a","http://sws.geonames.org/2749528","http://vocab.getty.edu/tgn/7003624","51.6510955191","4.91599865541"
"2463","K162p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K162p","s-Gravenmoer","K 162",,"http://vocab.getty.edu/tgn/7003624","51.6583687722","4.94398911019"
"2464","K163a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K163a","Hoge Ham","K 163a","http://sws.geonames.org/2753762","http://vocab.getty.edu/tgn/7003624","51.6359377118","4.94520517977"
"2465","K163b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K163b","Klein-Dongen","K 163b","http://sws.geonames.org/2752776","http://vocab.getty.edu/tgn/7003624","51.6459428755","4.95262064512"
"2466","K163c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K163c","Dongense Vaart","K 163c","http://sws.geonames.org/2756720","http://vocab.getty.edu/tgn/7003624","51.6457115575","4.97566759153"
"2467","K163p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K163p","Dongen","K 163","http://sws.geonames.org/2756723","http://vocab.getty.edu/tgn/7003624","51.6312807114","4.94975696632"
"2468","K164a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K164a","Kaatsheuvel","K 164a","http://sws.geonames.org/2753156","http://vocab.getty.edu/tgn/7003624","51.6624280928","5.03866264286"
"2469","K164b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K164b","De Moer","K 164b","http://sws.geonames.org/2757281","http://vocab.getty.edu/tgn/7003624","51.6287220972","5.02140286608"
"2470","K164p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K164p","Loon op Zand","K 164","http://sws.geonames.org/2751456","http://vocab.getty.edu/tgn/7003624","51.6425760651","5.06837397396"
"2471","K164q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K164q","Heikant","K 164x","http://sws.geonames.org/2754533","http://vocab.getty.edu/tgn/7003624","51.601812262","5.09218791884"
"2472","K165a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K165a","Giersbergen","K 165a","http://sws.geonames.org/2755537","http://vocab.getty.edu/tgn/7003624","51.6614799533","5.15695368605"
"2473","K165p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K165p","Udenhout","K 165","http://sws.geonames.org/2746003","http://vocab.getty.edu/tgn/7003624","51.619384771","5.14714630481"
"2474","K166p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K166p","Berkel","K 166","http://sws.geonames.org/2759090","http://vocab.getty.edu/tgn/7003624","51.5969576372","5.15127714877"
"2475","K167p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K167p","Cromvoirt","K 167","http://sws.geonames.org/2757879","http://vocab.getty.edu/tgn/7003624","51.664718185","5.23562500501"
"2476","K168p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K168p","Vught","K 168","http://sws.geonames.org/2745154","http://vocab.getty.edu/tgn/7003624","51.66603591","5.3037877187"
"2477","K169p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K169p","Helvoirt","K 169","http://sws.geonames.org/2754440","http://vocab.getty.edu/tgn/7003624","51.6348082952","5.2387294196"
"2478","K170p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K170p","Haaren","K 170","http://sws.geonames.org/2755009","http://vocab.getty.edu/tgn/7003624","51.602090048","5.23883642566"
"2479","K171a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K171a","Luissel","K 171a","http://sws.geonames.org/2751394","http://vocab.getty.edu/tgn/7003624","51.5918382617","5.26588436272"
"2480","K171p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K171p","Esch","K 171","http://sws.geonames.org/2756030","http://vocab.getty.edu/tgn/7003624","51.6136845464","5.30088081859"
"2481","K172p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K172p","Boxtel","K 172","http://sws.geonames.org/2758460","http://vocab.getty.edu/tgn/7003624","51.5903262841","5.33694321008"
"2482","K173a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K173a","Kruisland","K 173a","http://sws.geonames.org/2752192","http://vocab.getty.edu/tgn/7003624","51.5658311501","4.38975044688"
"2483","K173b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K173b","Heerle","K 173b","http://sws.geonames.org/2754653","http://vocab.getty.edu/tgn/7003624","51.5157616937","4.3658662432"
"2484","K173c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K173c","Moerstraten","K 173c","http://sws.geonames.org/2750754","http://vocab.getty.edu/tgn/7003624","51.5402195301","4.34832080735"
"2485","K173p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K173p","Wouw","K 173","http://sws.geonames.org/2744145","http://vocab.getty.edu/tgn/7003624","51.5200557879","4.39474614544"
"2486","K173q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K173q","Welberg","K 173x","http://sws.geonames.org/2744869","http://vocab.getty.edu/tgn/7003624","51.5713253538","4.34160812568"
"2487","K174a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K174a","Vroenhout","K 174a","http://sws.geonames.org/2745171","http://vocab.getty.edu/tgn/7003624","51.5384380878","4.43133281428"
"2488","K174p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K174p","Roosendaal","K 174","http://sws.geonames.org/2747930","http://vocab.getty.edu/tgn/7003624","51.5371877106","4.46934063568"
"2489","K174q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K174q","Kalfsdonk","K 174x",,"http://vocab.getty.edu/tgn/7003624","51.5505922985","4.46957444317"
"2490","K175a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K175a","Bosschenhoofd","K 175a","http://sws.geonames.org/2758540","http://vocab.getty.edu/tgn/7003624","51.5682949946","4.54524567966"
"2491","K175b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K175b","Zegge","K 175b","http://sws.geonames.org/2743992","http://vocab.getty.edu/tgn/7003624","51.5515831657","4.51805904499"
"2492","K175p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K175p","Hoeven","K 175","http://sws.geonames.org/2753982","http://vocab.getty.edu/tgn/7003624","51.5779702313","4.59058339488"
"2493","K176p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K176p","Etten","K 176","http://sws.geonames.org/2755996","http://vocab.getty.edu/tgn/7003624","51.5695538534","4.6377541341"
"2494","K177a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K177a","Schijf","K 177a","http://sws.geonames.org/2747585","http://vocab.getty.edu/tgn/7003624","51.5011115427","4.56296600373"
"2495","K177b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K177b","Sprundel","K 177b","http://sws.geonames.org/2746886","http://vocab.getty.edu/tgn/7003624","51.5391345552","4.60876362786"
"2496","K177c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K177c","Sint Willibrord","K 177c","http://sws.geonames.org/2747210","http://vocab.getty.edu/tgn/7003624","51.5521437787","4.59703455098"
"2497","K177p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K177p","Rucphen","K 177","http://sws.geonames.org/2747858","http://vocab.getty.edu/tgn/7003624","51.5322583495","4.56039789344"
"2498","K178a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K178a","Effen","K 178a","http://sws.geonames.org/2756310","http://vocab.getty.edu/tgn/7003624","51.5594907561","4.72642164144"
"2499","K178p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K178p","Princenhage","K 178","http://sws.geonames.org/2748457","http://vocab.getty.edu/tgn/7003624","51.5779670656","4.74166148096"
"2500","K179a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K179a","Bavel","K 179a",,"http://vocab.getty.edu/tgn/7003624","51.5687789545","4.83432067987"
"2501","K179b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K179b","Ulvenhout","K 179b","http://sws.geonames.org/2745940","http://vocab.getty.edu/tgn/7003624","51.5540022866","4.80850297636"
"2502","K179j","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K179j","Galder","K 179bx","http://sws.geonames.org/2755770","http://vocab.getty.edu/tgn/7003624","51.5252407323","4.78938684655"
"2503","K179p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K179p","Ginneken","K 179","http://sws.geonames.org/2755498","http://vocab.getty.edu/tgn/7003624","51.5680264183","4.80882908264"
"2504","K179q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K179q","Overa","K 179x","http://sws.geonames.org/2748871","http://vocab.getty.edu/tgn/7003624","51.5471737267","4.7536037815"
