"id","kloeke_nieuw","kloeke_uri","altname"
"136","B100p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B100p","Urterp"
"137","B105a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B105a","Fryske Peallen"
"138","B105p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B105p","Sigerswald"
"139","B106a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B106a","Eksmoarre"
"140","B107a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B107a","Skuzun"
"141","B107p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B107p","Piaem"
"142","B108a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B108a","Dedzjum"
"143","B108p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B108p","Tsjerkwert"
"144","B109a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B109a","Ferwalde"
"145","B109p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B109p","Parregea"
"146","B110b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B110b","Hartwert"
"147","B110p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B110p","Bolswert"
"148","B111a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B111a","Turns"
"149","B111b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B111b","Blauhus"
"150","B111c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B111c","Reahus"
"151","B111h","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B111h","Tsjalhuzum"
"152","B111p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B111p","Nijlan"
"153","B112p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B112p","Snits"
"154","B113a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B113a","Nijesyl"
"155","B113b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B113b","Abbegea"
"156","B113p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B113p","Easthim"
"157","B114p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B114p","Drylts"
"158","B115a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B115a","Gau"
"159","B115p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B115p","Skearnegoutum"
"160","B116p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B116p","Offenwier"
"161","B117b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B117b","Twellingea"
"162","B117c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B117c","Eagmaryp"
"163","B117p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B117p","Toppenhuzen"
"164","B118p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B118p","Terzoal"
"165","B119p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B119p","Jirnsum"
"166","B120a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B120a","Terherne"
"167","B121a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B121a","Gersleat"
"168","B121b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B121b","Tynje"
"169","B121q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B121q","Soarremoarre"
"170","B122p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B122p","Boarnburgum"
"171","B123p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B123p","Beetstersweach"
"172","B123q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B123q","Lippenhuzen"
"173","B124a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B124a","Himrik"
"174","B124p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B124p","De Gordyk"
"175","B125p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B125p","Wynjeterp"
"176","B126p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B126p","Duerswald"
"177","B127p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B127p","Bakkefean"
"178","B128a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B128a","De Waskemar"
"179","B128p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B128p","Haulerwyk"
"180","B129p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B129p","De Haule"
"181","C026c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=C026c","Saaksumhuizen"
"182","C030p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=C030p","Usquerd"
"183","C062p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=C062p","Rodehaan"
"184","C070a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=C070a","Sint Annen"
"185","C083p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=C083p","Oterdum"
"186","C123p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=C123p","Nieuw Scheemda"
"187","C146b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=C146b","Nieuw Roden"
"188","C181g","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=C181g"," "
"189","E009q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=E009q","Wad"
"190","F001p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F001p","Warkum"
"191","F001q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F001q","Nijhuzum"
"192","F002a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F002a","Aldegea"
"193","F002b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F002b","Easterein"
"194","F002c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F002c","Jutryp"
"195","F002d","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F002d","De Hommerts"
"196","F002e","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F002e","De Gaestmar"
"197","F002f","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F002f","Heech"
"198","F002p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F002p","Hynljippen "
"199","F003a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F003a","De Yndyk"
"200","F003p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F003p","Waldsein"
"201","F003q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F003q","Ypkolsgea"
"202","F003z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F003z","Ealehuzen"
"203","F004p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F004p","Langwar"
"204","F005a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F005a","Jidskenhuzen"
"205","F005p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F005p","Sint Nikelsgea"
"206","F005q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F005q","Ousternijegea"
"207","F005y","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F005y","Aldeouwer"
"208","F006p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F006p","Sniksweach"
"209","F007a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F007a","Westermar"
"210","F007p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F007p","De Jouwer"
"211","F008p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F008p","Haskerhoarne"
"212","F009p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F009p","Ousterhaule"
"213","F010a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F010a","Haskerdiken"
"214","F011a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F011a","Terbant"
"215","F011p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F011p","It Lunjebert"
"216","F012p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F012p","De Knipe West"
